time,d_delta_roll,d_delta_pitch,d_delta_yaw,delta_roll,delta_pitch,delta_yaw
0.0,-124.02006852616634,-137.61924598126944,-1.9739208802178716,-1.2402006852616634,-1.3761924598126944,-0.019739208802178717
0.01,-0.16273520041591105,5.312693440216073,-7.412237514500111,-1.2418280372658226,-1.3230655254105337,-0.09386158394717983
0.02,-43.802531928865385,0.038778189395954676,-1.7757558573015493,-1.6798533565544764,-1.3226777435165742,-0.11161914252019532
0.03,-46.163370978356234,-4.466329584376997,-2.6845013925938863,-2.1414870663380388,-1.3673410393603442,-0.1384641564461342
0.04,-24.82695058120688,-36.02913815059403,-1.7505090296087298,-2.3897565721501075,-1.7276324208662845,-0.15596924674222148
0.05,-12.440562924615136,-26.2443721051257,-2.6624691841907646,-2.514162201396259,-1.9900761419175415,-0.18259393858412915
0.06,-3.928114952893294,-0.6834883278519408,-3.3364016234449188,-2.553443350925192,-1.996911025196061,-0.21595795481857832
0.07,2.0768187118864665,7.977050023330824,-3.106336460328351,-2.5326751638063274,-1.9171405249627527,-0.24702131942186184
0.08,4.075481032467691,4.2944557115086806,-2.8865419919028925,-2.4919203534816505,-1.8741959678476658,-0.27588673934089075
0.09,4.970208006635097,-1.3001818294416925,-2.822909839483854,-2.4422182734152997,-1.8871977861420828,-0.3041158377357293
0.1,3.8048623719881736,-0.6151115056251291,-2.83946442226601,-2.404169649695418,-1.893348901198334,-0.3325104819583894
0.11,4.4716232807307685,-0.7072646048772073,-2.716727217218644,-2.35945341688811,-1.900421547247106,-0.35967775413057584
0.12,4.712363893724248,0.941188790529865,-2.6019390226543946,-2.3123297779508674,-1.8910096593418073,-0.38569714435711977
0.13,5.019094935806516,1.18940778923053,-2.4040326198673223,-2.262138828592802,-1.879115581449502,-0.409737470555793
0.14,5.074199782042111,0.907083899679372,-2.2063360991018452,-2.211396830772381,-1.8700447424527082,-0.4318008315468115
0.15,5.072814105806539,0.7049579512457944,-2.0011758509806254,-2.1606686897143152,-1.8629951629402504,-0.4518125900566177
0.16,4.935831949357094,0.5661701550410827,-1.7892918538882405,-2.1113103702207443,-1.8573334613898396,-0.46970550859550014
0.17,4.054719568622235,0.4916650076925455,-1.574730791813173,-2.070763174534522,-1.852416811312914,-0.48545281651363187
0.18,5.482907076769345,-0.08149008050434592,-1.363631682610185,-2.0159341037668286,-1.8532317121179576,-0.4990891333397337
0.19,6.224718652705902,-0.5597638867882662,-1.1538316150353953,-1.9536869172397695,-1.8588293509858402,-0.5106274494900876
0.2,6.815732678948667,-0.962409729150635,-0.9475652922036493,-1.885529590450283,-1.8684534482773465,-0.5201031024121241
0.21,7.451753828237008,-1.318784859707419,-0.7427376028271637,-1.8110120521679127,-1.8816412968744207,-0.5275304784403957
0.22,6.538568146604605,-1.5899126977584999,-0.5380626624661495,-1.7456263707018667,-1.8975404238520057,-0.5329111050650572
0.23,5.21546634524669,-1.6781033711470492,-0.3320735069875056,-1.6934717072493997,-1.9143214575634762,-0.5362318401349323
0.24,3.971116019514212,-1.4696436543516578,-0.12001700949075511,-1.6537605470542576,-1.9290178941069926,-0.5374320102298399
0.25,2.560654478688046,-0.8670862259077419,0.09662448452607686,-1.628154002267377,-1.93768875636607,-0.5364657653845791
0.26,1.2837384084177295,0.09247719998320303,0.328160680407529,-1.6153166181831997,-1.936763984366238,-0.5331841585805038
0.27,0.31942221715099617,1.1337128532208993,0.5642585990165807,-1.6121223960116897,-1.925426855834029,-0.5275415725903381
0.28,-0.3650029702334221,2.108864380168482,0.8000564143274791,-1.615772425714024,-1.9043382120323442,-0.5195410084470633
