time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-124.02006852616634,-137.61924598126944,-1.9739208802178716,-1.2402006852616634,-1.3761924598126944,-0.019739208802178717
0.01,-0.16273520041591105,5.312693440216073,-7.412237514500113,-1.2418280372658226,-1.3230655254105337,-0.09386158394717985
0.02,-43.802531928865406,0.038778189395954676,-1.7757558573015488,-1.6798533565544767,-1.3226777435165742,-0.11161914252019534
0.03,-46.1633709783562,-4.4663295843769895,-2.6845013925938863,-2.1414870663380388,-1.367341039360344,-0.1384641564461342
0.04,-24.82695058120691,-36.02913815059398,-1.7505090296087333,-2.389756572150108,-1.7276324208662839,-0.1559692467422215
0.05,-12.440562924615145,-26.244372105125716,-2.662469184190764,-2.5141622013962595,-1.990076141917541,-0.18259393858412915
0.06,-3.9281149528932975,-0.6834883278520065,-3.3364016234449214,-2.5534433509251926,-1.9969110251960611,-0.21595795481857835
0.07,2.0768187118864603,7.977050023330815,-3.106336460328355,-2.532675163806328,-1.917140524962753,-0.2470213194218619
0.08,4.075481032467691,4.294455711508595,-2.886541991902896,-2.491920353481651,-1.874195967847667,-0.27588673934089086
0.09,4.970208006635133,-1.3001818294416205,-2.822909839483861,-2.4422182734152997,-1.8871977861420832,-0.3041158377357295
0.1,3.8048623719881256,-0.615111505624987,-2.8394644222660137,-2.4041696496954184,-1.893348901198333,-0.3325104819583896
0.11,4.471623280730764,-0.70726460487725,-2.7167272172186463,-2.3594534168881105,-1.9004215472471055,-0.35967775413057607
0.12,4.712363893724217,0.9411887905297229,-2.601939022654399,-2.3123297779508682,-1.8910096593418084,-0.38569714435712005
0.13,5.0190949358064465,1.1894077892307031,-2.4040326198673307,-2.262138828592804,-1.8791155814495013,-0.40973747055579335
0.14,5.0741997820421,0.9070838996794075,-2.206336099101849,-2.211396830772383,-1.8700447424527071,-0.4318008315468118
0.15,5.0728141058066365,0.7049579512455759,-2.0011758509806303,-2.1606686897143166,-1.8629951629402515,-0.4518125900566181
0.16,4.93583194935714,0.5661701550411697,-1.7892918538882516,-2.111310370220745,-1.8573334613898398,-0.46970550859550064
0.17,4.054719568622235,0.49166500769251,-1.5747307918131779,-2.0707631745345227,-1.8524168113129147,-0.4854528165136324
