time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-14.3155424461227,-11.802268323250866,-9.380919273275719,-0.143155424461227,-0.11802268323250865,-0.09380919273275719
0.01,-13.929654544046175,-11.427313716352279,-8.719672434343499,-0.28245196990168875,-0.23229582039603144,-0.18100591707619218
0.02,-13.494359273005708,-10.95783517174733,-8.246597057995858,-0.4173955626317458,-0.34187417211350474,-0.26347188765615076
0.03,-12.96335416687023,-10.320447467339324,-7.793605838518441,-0.5470291043004482,-0.445078646786898,-0.3414079460413352
0.04,-12.320850393051483,-9.537828101226955,-7.362087318528341,-0.670237608230963,-0.5404569277991675,-0.4150288192266186
0.05,-11.554170899740383,-8.684534872258604,-6.941914710253319,-0.7857793172283668,-0.6273022765217536,-0.48444796632915177
0.06,-10.72476533668892,-7.88030338738698,-6.522105681823074,-0.893026970595256,-0.7061053103956234,-0.5496690231473825
0.07,-9.952445032249754,-7.228337475286532,-6.117948434202502,-0.9925514209177536,-0.7783886851484887,-0.6108485074894076
0.08,-9.26300109292281,-6.718480027075992,-5.741296201157688,-1.0851814318469817,-0.8455734854192486,-0.6682614695009844
0.09,-8.629526801149396,-6.309116203352827,-5.388782723005676,-1.1714766998584756,-0.9086646474527769,-0.7221492967310412
0.1,-8.035596360104897,-5.973745933893604,-5.054451518260964,-1.2518326634595245,-0.9684021067917129,-0.7726938119136508
0.11,-7.491103852723155,-5.700623395287552,-4.733788997958751,-1.326743701986756,-1.0254083407445884,-0.8200317018932384
0.12,-6.997946193628772,-5.477937035238532,-4.341305656024535,-1.3967231639230437,-1.0801877110969738,-0.8634447584534837
0.13,-6.559557005422802,-5.29611987088086,-3.9629458807665254,-1.4623187339772719,-1.1331489098057823,-0.9030742172611489
0.14,-6.170616696418639,-5.1460510440168115,-3.5987811309212656,-1.5240249009414581,-1.1846094202459505,-0.9390620285703616
0.15,-5.82608610186096,-5.020641441306431,-3.2493722617887575,-1.5822857619600676,-1.2348158346590148,-0.9715557511882491
0.16,-5.521252908892518,-4.914381693149206,-2.9149004871531545,-1.6374982910489928,-1.283959651590507,-1.0007047560597806
0.17,-5.251887883671887,-4.823017281216538,-2.595518870737519,-1.6900171698857116,-1.3321898244026724,-1.0266599447671558
0.18,-5.013986860817101,-4.743401424203477,-2.2912812763257757,-1.7401570384938827,-1.3796238386447073,-1.0495727575304137
0.19,-4.803762385699596,-4.673314487983549,-2.002123368999867,-1.7881946623508786,-1.4263569835245429,-1.0695939912204124
0.2,-4.617810726762184,-4.610666292990423,-1.7277931052660929,-1.8343727696185006,-1.4724636464544472,-1.0868719222730734
0.21,-4.453130116883806,-4.5536062344218955,-1.4680417670854693,-1.8789040707873386,-1.517999708798666,-1.101552339943928
0.22,-4.3069730204546515,-4.500677083916419,-1.2225436569587318,-1.921973800991885,-1.5630064796378302,-1.1137777765135153
0.23,-4.176840900201907,-4.450766706756449,-0.9909209135888322,-1.9637422099939041,-1.6075141467053948,-1.1236869856494036
0.24,-4.060478251336386,-4.403053678930828,-0.7727432204471807,-2.004346992507268,-1.6515446834947032,-1.1314144178538754
0.25,-3.9558681831707645,-4.356916094012835,-0.5675375770307025,-2.0439056743389754,-1.6951138444348315,-1.1370897936241824
0.26,-3.861214199663441,-4.3119170334422305,-0.37478203437091784,-2.08251781633561,-1.7382330147692537,-1.1408376139678915
0.27,-3.77498159347956,-4.26756515268668,-0.19387176507779058,-2.1202676322704055,-1.7809086662961204,-1.1427763316186694
0.28,-3.695909880156229,-4.223316952643375,-0.02424317831303746,-2.157226731071968,-1.8231418358225542,-1.1430187634017999
0.29,-3.623001362506547,-4.178739721582417,0.13465837757840804,-2.1934567446970332,-1.8649292330383784,-1.1416721796260159
0.3,-3.5555352847515342,-4.13358125255043,0.28335097307713486,-2.2290120975445484,-1.9062650455638828,-1.1388386698952444
0.31,-3.4930529089145885,-4.087844641663468,0.4223441147912115,-2.2639426266336944,-1.9471434919805175,-1.1346152287473323
0.32,-3.4350332779361397,-4.041635388250757,0.5522302228129043,-2.2982929594130557,-1.987559845863025,-1.1290929265192033
0.33,-3.3809008303374206,-3.9948785331902834,0.6735723023355926,-2.33210196771643,-2.027508631194928,-1.1223572034958473
0.34,-3.3301095014332853,-3.9474056150936843,0.7868957394598337,-2.3654030627307625,-2.066982687345865,-1.114488246101249
0.35000000000000003,-3.282168560684238,-3.899085953304401,0.8926783278222485,-2.3982247483376047,-2.105973546878909,-1.1055614628230266
0.36,-3.2366852120144776,-3.8499460220318946,0.9913786275596888,-2.4305916004577495,-2.144473007099228,-1.0956476765474297
0.37,-3.193244884722181,-3.7999768532012723,1.083466243496599,-2.4625240493049714,-2.1824727756312408,-1.0848130141124637
0.38,-3.151355183264643,-3.74904043902896,1.1693046678671393,-2.494037601137618,-2.2199631800215305,-1.0731199674337923
0.39,-3.1106211375188995,-3.6971618004214593,1.2491919835182899,-2.525143812512807,-2.2569347980257453,-1.0606280475986094
0.4,-3.070810152058505,-3.644571220601887,1.323385741992429,-2.555851914033392,-2.293380510231764,-1.0473941901786852
0.41000000000000003,-3.0317545784098137,-3.5915275171798466,1.3921453320728934,-2.5861694598174902,-2.3292957854035623,-1.0334727368579562
0.42,-2.993014394547691,-3.5379180068545164,1.4556846453338306,-2.6160996037629674,-2.3646749654721075,-1.0189158904046178
0.43,-2.954004250842619,-3.483465574852495,1.5140683350817874,-2.6456396462713934,-2.3995096212206324,-1.0037752070538
0.44,-2.914369102455691,-3.428146584231375,1.567325558593179,-2.6747833372959504,-2.433791087062946,-0.9881019514678682
0.45,-2.873929485517513,-3.3720740224243997,1.6154204776197383,-2.7035226321511256,-2.46751182728719,-0.9719477466916708
0.46,-2.8326771614300306,-3.3154612733188316,1.6582748252077002,-2.731849403765426,-2.500666440020378,-0.9553649984395939
0.47000000000000003,-2.7907294591860152,-3.2585660643003136,1.6957783553686057,-2.759756698357286,-2.5332521006633812,-0.9384072148859078
0.48,-2.748292156417982,-3.2016592430213198,1.7278060355628517,-2.7872396199214657,-2.5652686930935946,-0.9211291545302793
0.49,-2.705627823965216,-3.14500622640732,1.7542361486480544,-2.814295898161118,-2.5967187553576676,-0.9035867930437987
0.5,-2.6630388589394585,-3.088864663649936,1.774972368521604,-2.8409262867505123,-2.627607401994167,-0.8858370693585828
0.51,-2.6208600147577554,-3.0334908011265718,1.7899668851909112,-2.8671348868980897,-2.6579423100054327,-0.8679374005066737
0.52,-2.579440454411464,-2.97913767682056,1.7992333162286347,-2.8929292914422042,-2.687733686773638,-0.8499450673443874
0.53,-2.5387860856611013,-2.9257897980771723,1.8026560507625278,-2.9183171522988154,-2.71699158475441,-0.831918506836762
0.54,-2.5001397515587804,-2.874371130406195,1.800895541747875,-2.943318549814403,-2.7457352960584718,-0.8139095514192833
0.55,-2.4331532368462367,-2.825091129252259,1.794174389160407,-2.9676500821828653,-2.7739862073509944,-0.7959678075276793
0.56,-2.0357157038238016,-2.778417688290845,1.752433044956956,-2.9880072392211035,-2.801770384233903,-0.7784434770781097
0.5700000000000001,-1.6744490003193224,-2.7530833910215087,1.678862740213427,-3.0047517292242967,-2.829301218144118,-0.7616548496759754
0.58,-1.305959624187559,-2.717188164432785,1.6154338907552952,-3.0178113254661723,-2.8564730997884458,-0.7455005107684225
0.59,-0.9490341153209814,-2.6795815225444617,1.5569788451797568,-3.027301666619382,-2.8832689150138906,-0.7299307223166249
0.6,-0.6100390239566487,-2.6393146604262947,1.503754333048553,-3.0334020568589484,-2.9096620616181537,-0.7148931789861394
0.61,-0.2920793235341934,-2.595871039147508,1.4552770385176927,-3.0363228500942903,-2.935620772009629,-0.7003404086009625
0.62,0.004004308900415587,-2.5501531683486283,1.4109921726491923,-3.036282807005286,-2.961122303693115,-0.6862304868744705
0.63,0.2790518233643988,-2.5039922367468312,1.3703547350699368,-3.033492288771642,-2.9861622260605833,-0.6725269395237712
0.64,0.5350441414555611,-2.459256053220522,1.3328212122937693,-3.0281418473570865,-3.0107547865927886,-0.6591987274008335
0.65,0.7755964880415744,-2.416766251513523,1.2977757212564374,-3.0203858824766705,-3.0349224491079236,-0.6462209701882692
0.66,1.0055799855290886,-2.3759455240639813,1.2654012365820586,-3.0103300826213797,-3.0586819043485636,-0.6335669578224487
0.67,1.2232516161998994,-2.3368312158397213,1.2360282076346132,-2.9980975664593807,-3.082050216506961,-0.6212066757461026
0.68,1.424266271087677,-2.2999578125918285,1.2082647667940736,-2.983854903748504,-3.1050497946328792,-0.6091240280781618
0.6900000000000001,1.6155281828935637,-2.264375796699494,1.1814995638320949,-2.9676996219195684,-3.127693552599874,-0.5973090324398408
0.7000000000000001,1.8027775884162818,-2.2292166572598022,1.1572131959162844,-2.9496718460354057,-3.1499857191724723,-0.585736900480678
0.71,1.9776340352301855,-2.1957269809875557,1.1349727352998777,-2.929895505683104,-3.171942988982348,-0.5743871731276792
0.72,2.1379992492265307,-2.1642670161677593,1.1127994310043776,-2.9085155131908387,-3.1935856591440257,-0.5632591788176354
0.73,2.295174942100746,-2.1332489559090906,1.0913317103776112,-2.8855637637698313,-3.2149181487031164,-0.5523458617138594
0.74,2.4499905712774415,-2.10240144735965,1.071916737165401,-2.8610638580570567,-3.235942163176713,-0.5416266943422053
0.75,2.5925422229958874,-2.073248220319554,1.0535086678336159,-2.8351384358270977,-3.2566746453799085,-0.5310916076638692
0.76,2.7240895270432626,-2.045555500096615,1.034668231832087,-2.807897540556665,-3.2771302003808747,-0.5207449253455483
0.77,2.853547426904897,-2.0178900939063693,1.0165558972641273,-2.7793620662876157,-3.2973091013199385,-0.510579366372907
