time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,0.01940738028526739,0.007226763737511918,0.012069330073647884,1.2572044030663103,1.2081334962146943,4.675228463676653,0.012572044030663103,0.012081334962146945,0.04675228463676653,-13.605389290523858,-13.617569907071614,-13.612727340735477,0.6972335685011959,0.6971117623357184,0.6971601879990798,1.0600281354486423,0.9151646894239946,0.9717660801601037
0.02,0.029163429403496526,0.006720026914879388,-0.032401429057025546,1.547345085154315,1.508952263847319,1.6025740908044213,0.028045494882206253,0.027170857600620137,0.06277802554481074,-11.176707941666486,-11.197008328209153,-11.172178906481543,0.585466489084531,0.5851416790536268,0.5854383989342643,1.0456064390807682,0.7731449715267719,-1.0868950874679182
0.03,0.039982544726108404,0.008939679853506362,-0.025457209517950274,1.96010864166041,1.9684798837829462,3.838356050339299,0.04764658129881036,0.0468556564384496,0.10116158604820373,-9.21070741759223,-9.236089462621198,-9.224743193304677,0.49335941490860874,0.4927807844274148,0.49319096700121756,1.0737964054344393,0.6868851118043683,-0.8870590137869059
0.04,0.049481063380179616,0.010542595744415982,-0.043060189205074276,2.2540978941372427,2.2585824736908076,3.454797000794885,0.07018756024018279,0.06944148117535767,0.1357095560561526,-7.594154527913887,-7.62296046511419,-7.597625755850643,0.41741786962946986,0.4165511797762729,0.4172147094427111,1.1083289315709042,0.6132689713416065,-1.0221984587640218
0.05,0.05887506926145945,0.013308115806407492,-0.05563493667211461,2.5740061240654004,2.5977983954776787,3.4509290299007374,0.09592762148083679,0.09541946513013447,0.17021884635515996,-6.2452079034340615,-6.275340443943928,-6.244830430135888,0.3549657905951292,0.3537977753368336,0.3547664051413522,1.1605127296735227,0.5697236423120144,-1.1158284333919293
0.06,0.06772962816082766,0.016581136972087504,-0.0674020543003511,2.883786572458067,2.941057694577892,3.3989592035118275,0.12476548720541747,0.12483004207591339,0.20420843839027825,-5.112437546188978,-5.142317982770757,-5.109135249309405,0.3038414151332394,0.30237459550912604,0.30367505264825817,1.2209531925524066,0.5462004002370142,-1.2161761638042041
0.07,0.0760010317731824,0.02022913027478565,-0.07781776543322716,3.1838149179273643,3.2920226114973654,3.359018116180479,0.1566036363846911,0.15775026819088706,0.23779861955208303,-4.164398315967483,-4.192956175497796,-4.159495663591866,0.2621974319735646,0.26044503375414807,0.2620800960123395,1.2860810392300412,0.5391777262436155,-1.311599392914768
0.08,0.08362184303391226,0.02406571376869643,-0.08705586812481295,3.4676730295955314,3.6445899352939257,3.3204808872566627,0.1912803666806464,0.19419616754382632,0.27100342842464964,-3.380453950163426,-3.4072400430902516,-3.3748257800594814,0.22839289247193034,0.22637263332324556,0.2283318382117447,1.3524706437045122,0.5446816825032709,-1.4012494039442152
0.09,0.09055500808811567,0.02795779058230069,-0.0951898590400864,3.7283210753565923,3.994614323787971,3.284408545105323,0.22856357743421232,0.23414231078170603,0.30384751387570286,-2.7424457508302473,-2.7675068534792766,-2.7366760251909485,0.20096843496362787,0.1986975647884528,0.2009650779598352,1.417487848254528,0.5594662915614664,-1.4836741026606899
