time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,0.032308517949741045,0.02393261835692308,0.25188994808324394,5.278640657192685,6.415629101290552,31.396444995021067,0.052786406571926854,0.06415629101290551,0.31396444995021067,-13.592488152859385,-13.600864052452202,-13.372906722725881,0.6973625798778407,0.6972788208819125,0.6995583941791756,1.2218290262322546,1.1158662974919746,4.155059842263804
0.02,0.06492978429112695,0.05253948782567197,0.11857460807072429,11.017024090354726,13.646375564122977,20.902895784014955,0.16295664747547411,0.2006200466541353,0.5229934077903602,-11.14321140623943,-11.154128046886985,-11.128205564447704,0.5859304658154464,0.5857375404130427,0.5882763385346986,1.524296753072424,1.3536750462129659,2.2893454096465247
0.03,0.10646358923425309,0.0972133173063548,0.08541954159309129,17.246413642776083,22.32192063807613,18.894931130820723,0.33542078390323493,0.42383925303489656,0.7119427190985674,-9.152312679025911,-9.158200586417427,-9.214242646285177,0.4944073390251873,0.4941555345488684,0.49613391207184687,2.0026512113111767,1.8700308694112535,1.704132574747602
0.04,0.14784637461010053,0.15167230423358957,0.06064967565197077,22.98333523375018,32.17689699775379,16.83383067631574,0.5652541362407367,0.7456082230124346,0.8802810258617249,-7.514137607582141,-7.505903003393812,-7.631559692517944,0.4192659629493659,0.4190965045149303,0.41981831514666745,2.4965816913832755,2.549271122731164,1.2637087891590295
0.05,0.19438519950648525,0.22823690595109225,0.04690916449476268,28.84717472013303,44.8860795815465,15.377304273441682,0.853725883442067,1.1944690188278995,1.0340540685961417,-6.1425959714018115,-6.1057284697147605,-6.299900973955281,0.3578400032353478,0.3580392198177827,0.35681930540711465,3.0443028940593426,3.4643137126252417,1.000185128560764
0.06,0.24513210408908337,0.33379447363362447,0.03806077677261954,34.71569610102804,61.46988479832387,14.048315986963637,1.2008828444523474,1.8091678668111382,1.174537228465778,-4.987329817075276,-4.902289930472527,-5.175836761514784,0.30796670506459506,0.30901632051305744,0.3050609377919668,3.601988725046164,4.5435886300268296,0.8199339035403098
0.07,0.3050111646786957,0.48218221722477295,0.03426245155073104,41.79845510326765,83.14156663702262,13.318539033170586,1.618867395485024,2.6405835331813643,1.307722618797484,-4.011857849300714,-3.854127091607996,-4.228753373092414,0.2678481265715879,0.2704750495969775,0.26277340406104266,4.204600300668758,5.83558423897189,0.7187772963518129
0.08,0.3798579721145967,0.6636630587623191,0.04650873726958893,51.60636655405715,108.34169941233849,17.177381999974262,2.1349310610255956,3.7240005273047494,1.4794964387972267,-3.189868053747482,-2.9551621797402654,-3.428337416326883,0.23594944603411308,0.24092342779957485,0.22849002989777384,4.89078325558362,7.33513555942294,0.837772839521328
0.09,0.3769481442912159,0.6508333339853181,0.04596291561581589,54.470854147093526,112.80033010826368,22.292738737942283,2.6796396024965308,4.852003828387386,1.7024238261766496,-2.596722058279367,-2.415615547464146,-2.7888434925935415,0.20998222545131942,0.2167672723249334,0.20060159497183844,4.832007907807091,7.196264299498791,0.7961820951785947
0.1,0.27510243585993166,0.4112945878826526,-0.012990824287361757,46.75892684182301,92.20883139260606,20.417755625080712,3.147228870914761,5.774092142313447,1.9066013824274566,-2.21741291317354,-2.2062420424934257,-2.307850068552231,0.18780809631958403,0.19470485189999914,0.17752309428631613,3.7903277766721626,5.124909381441482,-0.35000234191944635
0.11,0.2030829739174833,0.23480652627909038,-0.05811055576980473,41.32420307197864,76.04096287536512,18.92129746998164,3.560470901634547,6.534501771067098,2.095814357127273,-1.886455729897564,-1.9789659850115844,-1.8485167231292459,0.16894353902060838,0.1749151920498833,0.15903792705502368,2.9235761422236624,3.3181135145720724,-0.9100969691087921
0.12,0.14877061610195064,0.09896451722389177,-0.09884211267675358,37.03539285092327,62.057238737802784,16.910175815835753,3.93082483014378,7.155074158445125,2.2649161152856303,-1.6078430974173925,-1.7617958066425328,-1.4880401347419234,0.15286510804643444,0.15729723398345796,0.14415752570760443,2.18393143696312,1.4842734402857294,-1.4666439855347824
0.13,0.11523357616028207,0.010631337907829774,-0.12849850119952722,34.412801239132655,51.546626525640875,15.326281143542694,4.274952842535106,7.670540423701534,2.4181789267210574,-1.3680398955373425,-1.5468551342412806,-1.2118371664973033,0.139184709091061,0.14182868264104515,0.1320391540426314,1.6949865890624272,0.2788274967606925,-1.874966020311739
